parser,filename_mask,reference_designator,data_source,data_type,notes
mi.instrument.nobska.mavs4.ooicore.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/mj01a/VEL3DB101*",RS01SLBS-MJ01A-12-VEL3DB101,streamed,chunky,
mi.instrument.nobska.mavs4.ooicore.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/mj01a/VEL3DB101*20{14,150{[12345],60,61[0123456]}}*",RS01SLBS-MJ01A-12-VEL3DB101,streamed,chunky,
mi.instrument.nobska.mavs4.ooicore.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/mj01a/VEL3DB101*2015{061[789],06[23],0[789],10}*",RS01SLBS-MJ01A-12-VEL3DB101,streamed,datalog,
mi.instrument.teledyne.workhorse.adcp.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/lj01a/ADCPTE101*",RS01SLBS-LJ01A-10-ADCPTE101,streamed,chunky,
mi.instrument.teledyne.workhorse.adcp.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/lj01a/ADCPTE101*20{14,150{[123456],70[123]}}*",RS01SLBS-LJ01A-10-ADCPTE101,streamed,chunky,
mi.instrument.teledyne.workhorse.adcp.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/lj01a/ADCPTE101*2015{0709,07[123],0[89],10}*",RS01SLBS-LJ01A-10-ADCPTE101,streamed,datalog,
mi.instrument.wetlabs.ac_s.ooicore.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/lj01a/OPTAAC103*",RS01SLBS-LJ01A-11-OPTAAC103,streamed,chunky,
mi.instrument.wetlabs.ac_s.ooicore.driver,"/rsn_cabled/rsn_cabled/DVT_Data/lj01a/OPTAAC103*20{14,150[123]}*",RS01SLBS-LJ01A-11-OPTAAC103,streamed,chunky,
mi.instrument.wetlabs.ac_s.ooicore.driver,"/rsn_cabled/rsn_cabled/DVT_Data/lj01a/OPTAAC103*20{15{0[789],10,11,12{01,2[89],3}},16010[1234]}*",RS01SLBS-LJ01A-11-OPTAAC103,streamed,datalog,
mi.instrument.seabird.sbe16plus_v2.ctdpf_jb.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/lj01a/CTDPFB101*",RS01SLBS-LJ01A-12-CTDPFB101,streamed,ascii,
mi.instrument.seabird.sbe16plus_v2.ctdpf_jb.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/lj01a/CTDPFB101*20{14,15{0[123456],070[123]}}*",RS01SLBS-LJ01A-12-CTDPFB101,streamed,ascii,
mi.instrument.seabird.sbe16plus_v2.ctdpf_jb.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/lj01a/CTDPFB101*2015{07{09,[123]},0[89],1}*",RS01SLBS-LJ01A-12-CTDPFB101,streamed,datalog,
mi.instrument.seabird.sbe16plus_v2.ctdpf_jb.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/lj01a/CTDPFB101*20{14,150{[123456],70[123]}}*",RS01SLBS-LJ01A-12-CTDPFB101,streamed,ascii,
mi.instrument.seabird.sbe16plus_v2.ctdpf_jb.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/lj01a/CTDPFB101*2015{0709,07[123],0[89],10}*",RS01SLBS-LJ01A-12-CTDPFB101,streamed,datalog,
mi.instrument.uw.hpies.ooicore.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/lj01a/HPIESA101*",RS01SLBS-LJ01A-05-HPIESA101,streamed,ascii,
mi.instrument.uw.hpies.ooicore.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/lj01a/HPIESA101*20{14,15{0[123456],070[123]}}*",RS01SLBS-LJ01A-05-HPIESA101,streamed,ascii,
mi.instrument.uw.hpies.ooicore.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/lj01a/HPIESA101*2015{0709,07[123],0[89],10}*",RS01SLBS-LJ01A-05-HPIESA101,streamed,datalog,
mi.instrument.uw.hpies.ooicore.driver,"/rsn_cabled",RS01SLBS-LJ01A-05-HPIESA101,streamed,datalog,
mi.instrument.seabird.sbe54tps.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/mj01a/PRESTA101*{2014,20150[12345],2015060,2015061[012345]}*",RS01SLBS-MJ01A-06-PRESTA101,streamed,chunky,
mi.instrument.seabird.sbe54tps.driver,"/rsn_cabled/rsn_data/DVT_Data/dvt.20151005/mj01a/PRESTA101*2015{061[6789],06[23],0[789],10}*",RS01SLBS-MJ01A-06-PRESTA101,streamed,datalog,
